,0
145,"  Option 2: matte table

When you slide a lunch bag across a shiny table, the bag will experience more friction and heat buildup due to the smooth surface. This means that the bottom of the bag will get hotter faster. On the other hand, sliding the bag across a matte table will create less friction and heat buildup, resulting in a cooler bottom. Therefore, the matte table will make the bottom of the bag stay cooler."
146,"  To determine which ball has weaker gravity, we need to calculate the gravitational force acting on each ball. The gravitational force is given by the equation:

F = G \* m \* M / r^2

where:

* F is the gravitational force
* G is the gravitational constant (6.67408e-11 N m^2 kg^-2)
* m is the mass of the object
* M is the mass of the Earth (5.97237e24 kg)
* r is the distance between the object and the center of the Earth

For the softball:

m = 4 ounces = 0.0625 kg
r = distance between the softball and the center of the Earth = 0.00000625 km (assuming Janna is holding the softball at a distance of 1 meter from her body)

F = G \* m \* M / r^2 = 6.67408e-11 N m^2 kg^-2 \* 0.0625 kg \* 5.97237e24 kg / (0.00000625 km)^2 = 0.00000000625 N

For the bowling ball:

m = 32 ounces = 0"
147,"  Given the information provided, the coaster will heat up less over the dining table than over the coffee table.

Option 2: less

Explanation:

When Milo slides the coaster over the coffee table at a speed of 1 m/s, the coaster will experience a certain amount of frictional heating due to the resistance caused by the table surface. This heating will cause the coaster to warm up.

On the other hand, when Milo slides the coaster over the dining table at a speed of 0.4 m/s, the coaster will experience even less frictional heating due to the softer surface of the dining table. As a result, the coaster will warm up less over the dining table than over the coffee table.

Therefore, the correct answer is option 2: less."
148,"  To determine who has a bigger gravity pull, we need to consider the mass of each person. The more massive an object is, the stronger its gravitational pull will be.

Elliot weighs 180 pounds, which means he has a mass of 180 pounds x 1 unit = 180 pounds.

Leon weighs 120 pounds, which means he has a mass of 120 pounds x 1 unit = 120 pounds.

Therefore, Leon has a smaller mass than Elliot, which means he has a weaker gravitational pull. So, the correct answer is Option 2: Leon."
149,"  To determine who has a bigger gravity pull, we need to calculate their body mass index (BMI). BMI is a measure of a person's weight in relation to their height.

Elliot weighs 82 kg, which is equivalent to 179 pounds.
Leon weighs 167 pounds, which is equivalent to 75 kg.

Using the formula: BMI = weight (in kg) / height (in meters) squared, we can calculate their BMIs:

Elliot's BMI = 179 / (1.7 m) squared = 24.5
Leon's BMI = 75 / (1.7 m) squared = 24.8

As you can see, both Elliot and Leon have a BMI of approximately 24.5, which means they are both of normal weight. Therefore, neither of them has a bigger gravity pull.

So, the correct answer is: Option 2: Leon."
150,"  Based on the information provided, the bus driver drove at a slower speed on the unpaved road (37 km/h) than on the dirt road (38 miles/h). Therefore, the correct answer is:

Option 2: Less friction.

The unpaved road had less friction than the dirt road, which is why the bus driver drove slower on the unpaved road."
151,"  Based on the information provided, the train generated more heat on the tracks.

The speed of the train on the tracks (76 kph) is higher than the speed on the pavement (37 kph), which means the train is moving faster on the tracks. As the train moves faster, it will generate more heat due to friction between the wheels and the tracks. Therefore, option 1 (tracks) is the correct answer."
152,"  According to the principle of perspective, the street light that is 2 miles away will appear brighter than the one that is 1 mile away.

The reason for this is that the farther away an object is, the smaller it appears to the human eye. This is because the human eye has a limited ability to resolve details at a distance, and the farther away an object is, the more it is affected by the blurring effect of the atmosphere.

Therefore, the street light that is 2 miles away will appear larger and brighter than the one that is 1 mile away, even though they are both emitting the same amount of light."
153,"  Based on the information provided, the rocky yard is more rough than the swept yard.

According to the passage, a boxer dog can run at a speed of 42 mph in a swept yard, which suggests that the surface is smooth and flat. In contrast, the passage states that the dog can run at a speed of 38 mph in a rocky yard, which implies that the surface is rough and uneven. Therefore, option 2 (rocky yard) is the correct answer."
154,"  Option 2: matte table

When you slide a lunch bag across a shiny table, the friction between the bag and the table will cause the bag to heat up due to the frictional forces. On the other hand, when you slide a lunch bag across a matte table, the friction will be less, and the bag will heat up less. Therefore, the matte table will make the bottom of the bag stay cooler."
155,"  To determine which ball has weaker gravity, we need to understand that gravity is a force that attracts objects towards each other. The strength of the gravitational force depends on the mass of the objects and the distance between them.

Since Janna is holding both the bowling ball and the softball, the distance between the balls and Janna is the same. Therefore, the gravitational force acting on both balls is the same.

So, neither the softball nor the bowling ball has weaker gravity. Both balls are attracted to Janna with the same strength.

Therefore, the correct answer is: Neither option 1 nor option 2."
156,"  Based on the information provided, the trolley will experience a greater distance on the rusted tracks.

The friction force on the rusted tracks is 12 N, which is greater than the friction force on the new tracks of 7 N. This means that the trolley will have more resistance and friction when traveling on the rusted tracks, which will cause it to slow down and travel a shorter distance.

Therefore, the correct answer is Option 1: rusted tracks."
157,"  Given the information provided, the best answer is Option 2: thin.

Howard needed a new bed frame that could hold a weight of 120 kg, which means the frame needed to be strong enough to support that amount of weight without breaking or collapsing. A thin frame would be more likely to be able to support a heavier weight than a thick frame, as it would have a smaller cross-sectional area and therefore be able to distribute the weight more evenly.

Therefore, the best answer is Option 2: thin."
158,"  Based on the information provided, the option that offers more resistance to the spider's temperature change is:

Option 2: tree.

According to the question, the spider's temperature becomes 92 F while scurrying across a web, indicating that the web provides more resistance to temperature change than the tree."
159,"  Based on the information provided, the option that offers more resistance to the spider's temperature change is:

Option 1: web.

The temperature of the spider increases by 20°C while scurrying across the web, indicating that the web provides more resistance to temperature change than the tree. This makes sense, as the web is a more complex and dynamic structure than the tree, and would likely provide more resistance to temperature fluctuations."
160,"  Based on the information provided, the butterfly creates less heat flying through the bushes.

According to the passage, the butterfly can fly at a speed of 7 miles per hour through open air, which means it generates a certain amount of heat due to its motion. However, when flying through bushes, the butterfly can fly at a speed of 18 miles per hour, which is significantly faster than its speed through open air. This increased speed means that the butterfly generates more heat while flying through the bushes compared to flying through open air. Therefore, the correct answer is Option 1: bushes."
161,"  To solve this problem, we need to use the concept of relative velocity. The relative velocity between the two robins is the velocity of the female robin minus the velocity of the male robin.

Let's assume the velocity of the male robin is ""m"" and the velocity of the female robin is ""f"".

After 13 minutes, the male robin stopped to rest, so the distance traveled by the male robin is:

Distance = Speed x Time = m x 13 minutes = m x 0.22 hours (since there are 60 minutes in an hour)

The female robin kept going and didn't stop to rest for another 24 minutes, so the distance traveled by the female robin is:

Distance = Speed x Time = f x 24 minutes = f x 0.44 hours (since there are 60 minutes in an hour)

Since the male robin stopped to rest after 13 minutes, the female robin covered more distance than the male robin during the same time period. Therefore, the answer is Option 2: the female robin covered more distance."
